Player in-game name (IGN),CM Group,A or B Finals?,Finals race result,Own Team - Uma 1,Own team - Uma 1 - Running Style,Own team - Uma 1 - Role,Own Team - Uma 2,Own team - Uma 2 - Running Style,Own team - Uma 2 - Role,Own Team - Uma 3,Own team - Uma 3 - Running Style,Own team - Uma 3 - Role,,,,,,,,,,,,,,Uma 1,Uma2,Uma3
Def,Graded (No Limit),B Finals,1st,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
Horse!!!,Graded (No Limit),A Finals,1st,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Royal,Graded (No Limit),A Finals,1st,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker,Narita Taishin - End Closer - Unity Cup Scenario Ace
Hong,Graded (No Limit),A Finals,2nd,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
ole,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Tetsu,Graded (No Limit),A Finals,1st,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace
Daigo,Graded (No Limit),A Finals,1st,Eishin Flash,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,"Filler, 1 run just to fill team",Nice Nature,Late Surger,Debuffer,,,,,,,,,,,,,,Eishin Flash - Late Surger - Unity Cup Scenario Ace,"Oguri Cap - Late Surger - Filler, 1 run just to fill team",Nice Nature - Late Surger - Debuffer
Cing,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,TM Opera O - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Deetdee,Graded (No Limit),A Finals,2nd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace
Arkhan,Graded (No Limit),A Finals,2nd,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Gold City,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Gold City - Late Surger - Unity Cup Scenario Ace
Bboy,Graded (No Limit),A Finals,3rd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Gold City,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Gold City - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace
shinryuux,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace
Kiergar,Graded (No Limit),A Finals,1st,Narita Taishin,End Closer,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
potato,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
cuchau,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Special Week,Late Surger,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Special Week - Late Surger - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace
Chark,Graded (No Limit),A Finals,1st,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,TM Opera O,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,TM Opera O - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Supaikurusu,Graded (No Limit),B Finals,2nd,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace
Atticus,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Curren Chan - Pace Chaser - Unity Cup Scenario Ace
Aurora,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker,Vodka - Late Surger - Unity Cup Scenario Ace
Ess,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
FrostPH,Graded (No Limit),A Finals,2nd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
juyr,Graded (No Limit),A Finals,1st,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,King Halo,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,King Halo - Late Surger - Unity Cup Scenario Ace
moekofi,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
MakiAlfa,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace
JorgeHaruno,Graded (No Limit),A Finals,1st,Meisho Doto,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Meisho Doto - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Ursa,Graded (No Limit),A Finals,2nd,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,TM Opera O,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,TM Opera O - Late Surger - Unity Cup Scenario Ace
Ragnire,Graded (No Limit),A Finals,3rd,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
caephon,Graded (No Limit),A Finals,1st,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,Tokai Teio,Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace,Tokai Teio - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
Origami,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Air Groove,Pace Chaser,Unity Cup Scenario Ace,King Halo,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Air Groove - Pace Chaser - Unity Cup Scenario Ace,King Halo - Late Surger - Unity Cup Scenario Ace
Torena,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace
BlazingRamen,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Gemstone Addict,Graded (No Limit),A Finals,1st,Narita Taishin,End Closer,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace
Toad,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Cierir,Graded (No Limit),A Finals,2nd,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Nice Nature,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Nice Nature - Late Surger - Unity Cup Scenario Ace
CommanderPuma99,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Front Blocker,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Front Blocker,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
StarFruit,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Tokai Teio,Pace Chaser,Unity Cup Scenario Ace,El Condor Pasa,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Tokai Teio - Pace Chaser - Unity Cup Scenario Ace,El Condor Pasa - Front Runner - Unity Cup Scenario Ace
YourSkyMommy,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Xave,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
thefireninja77,Graded (No Limit),A Finals,2nd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Zedael,Graded (No Limit),A Finals,1st,Gold Ship,End Closer,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Gold Ship - End Closer - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
LeToucan,Graded (No Limit),A Finals,1st,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Victoria Secret,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Curren Chan - Pace Chaser - Unity Cup Scenario Ace
Tiddledoo,Graded (No Limit),A Finals,2nd,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
mondits,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace
Jun,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
DatKid,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Silence Suzuka - Front Runner - Unity Cup Scenario Ace
Kaitei,Graded (No Limit),A Finals,3rd,Vodka,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace
Aeon,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Special Week,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Special Week - Late Surger - Unity Cup Scenario Ace
X-ite_SDF,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Agnes Tachyon,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Agnes Tachyon - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
BiggE_Huggs,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Sakura Bakushin O,Front Runner,Front Blocker,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Sakura Bakushin O - Front Runner - Front Blocker,Silence Suzuka - Runaway/Oonige - Front Blocker
CatPanda,Graded (No Limit),A Finals,1st,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Ancalagor,Graded (No Limit),A Finals,2nd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
toraZuZu,Graded (No Limit),A Finals,3rd,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
IASW,Graded (No Limit),A Finals,3rd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Agnes Tachyon,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Agnes Tachyon - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
